2025-01-29 10:49:39,769 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-29 11:33:05,138 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-29 11:33:09,636 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-29 11:57:00,664 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-29 11:57:00,664 | MainThread   | [INFO    ] | <module>            |: info
2025-01-29 11:57:00,665 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-29 11:57:00,666 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-29 11:57:00,666 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-29 11:57:23,045 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-29 11:57:23,046 | MainThread   | [INFO    ] | <module>            |: info
2025-01-29 11:57:23,047 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-29 11:57:23,047 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-29 11:57:23,048 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-29 11:57:25,748 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-29 12:03:30,021 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-29 12:42:09,495 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-29 12:42:14,010 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-29 12:45:20,915 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-29 12:45:38,352 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-29 12:45:42,879 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-29 12:49:03,578 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-29 12:49:28,459 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-29 12:49:33,403 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-29 12:50:28,784 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-29 12:50:44,368 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-29 12:50:49,428 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 16:28:55,440 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-30 16:28:55,441 | MainThread   | [INFO    ] | <module>            |: info
2025-01-30 16:28:55,442 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-30 16:28:55,443 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-30 16:28:55,444 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-30 16:28:59,461 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-30 16:28:59,461 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2025-01-30 16:28:59,461 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 16:31:51,499 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-30 16:31:51,499 | MainThread   | [INFO    ] | <module>            |: info
2025-01-30 16:31:51,500 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-30 16:31:51,501 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-30 16:31:51,501 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-30 16:31:55,246 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 16:31:59,796 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 16:35:37,410 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 16:36:02,517 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
