2025-04-16 09:05:45,770 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-16 09:05:45,770 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-16 09:05:45,770 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-16 09:05:45,770 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-16 09:05:45,770 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-16 09:05:45,770 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-16 09:08:45,881 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-16 09:08:46,502 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-16 09:08:47,640 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-16 09:08:48,046 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-16 09:08:48,789 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-16 09:08:49,310 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-16 09:08:50,078 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-16 09:08:50,495 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-16 09:14:16,694 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:42:47,566 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:43:33,242 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:45:03,438 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:45:32,466 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:46:14,022 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-16 09:46:19,131 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-16 09:46:20,609 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-16 09:46:21,137 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-16 09:46:22,137 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-16 09:46:22,999 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-16 09:47:31,986 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:54:17,478 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:55:16,587 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 09:58:08,803 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 10:01:07,188 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.3 (tags/v3.13.3:6280bb5, Apr  8 2025, 14:47:33) [MSC v.1943 64 bit (AMD64)]
2025-04-16 10:01:07,189 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-16 10:01:07,189 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-16 10:01:07,189 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-16 10:01:07,189 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-16 10:01:07,189 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-16 10:01:07,189 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-16 10:01:18,408 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 10:01:42,291 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-16 10:01:43,014 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-16 10:02:23,977 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 10:04:14,114 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 10:06:18,094 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 10:08:06,005 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-16 10:09:57,375 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
