2025-05-02 13:22:28,843 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 13:22:36,685 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 13:23:42,318 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 13:23:43,152 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 13:23:47,981 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 13:27:37,826 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 13:28:13,048 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 13:28:17,658 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 13:45:41,863 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 13:47:22,833 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 13:47:26,852 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:01:08,018 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:01:15,991 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:01:21,323 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:03:15,103 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:04:27,900 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:04:31,886 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:08:15,587 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:08:39,802 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:08:44,354 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:09:10,605 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
